actor_user_key,post_key,interaction_date_key,interaction_type,interaction_count
1548,1658,20230522,Like,1
782,5912,20230430,Like,1
695,5854,20231205,Comment,1
1732,2806,20230111,Like,1
579,5746,20230722,Like,1
863,2070,20230105,Like,1
1675,3696,20231209,Like,1
713,5013,20230815,Like,1
188,4011,20230406,Comment,1
655,692,20230522,Share,1
186,4391,20231109,Like,1
1854,4002,20230415,Like,1
145,4137,20230508,Like,1
1027,3415,20230428,Like,1
1666,563,20230531,Like,1
533,2744,20230616,Comment,1
1628,2830,20230321,Like,1
358,581,20230422,Like,1
58,2251,20230325,Like,1
628,2371,20230104,Like,1
1282,5072,20230129,Share,1
1067,820,20230325,Like,1
188,1576,20230104,Like,1
113,1374,20231003,Like,1
78,1334,20230909,Like,1
875,4445,20231023,Like,1
174,1333,20230329,Comment,1
1440,3383,20230607,Comment,1
1623,4064,20230124,Comment,1
627,3977,20230209,Like,1
55,2379,20230408,Like,1
535,1124,20230120,Comment,1
959,2415,20230614,Like,1
113,5897,20230322,Like,1
1915,82,20230311,Like,1
1917,1730,20231117,Share,1
1884,4952,20230225,Like,1
1894,3225,20230424,Share,1
245,386,20230831,Like,1
1233,3113,20231221,Like,1
643,4108,20231024,Like,1
348,811,20230415,Share,1
1103,3428,20231124,Like,1
121,1443,20230217,Like,1
379,2514,20230110,Like,1
594,4199,20231102,Like,1
78,1746,20230624,Like,1
1037,5383,20231108,Like,1
288,1474,20230826,Like,1
813,4218,20230322,Like,1
1769,4963,20230305,Like,1
1480,5833,20230409,Share,1
822,5998,20230311,Share,1
289,4588,20230728,Like,1
1470,2937,20230609,Like,1
1875,2109,20230926,Comment,1
1855,3028,20230914,Like,1
488,4199,20230723,Share,1
287,5144,20230718,Like,1
222,4370,20230823,Like,1
672,3598,20231127,Like,1
311,3325,20230815,Like,1
617,1135,20230804,Share,1
1736,1658,20230914,Like,1
1063,2961,20231110,Like,1
1887,3400,20231122,Like,1
1500,4335,20230224,Comment,1
1216,2073,20230720,Like,1
1061,861,20231030,Like,1
1122,2120,20230123,Like,1
1709,2054,20231108,Comment,1
1232,2611,20231209,Like,1
1481,2858,20230416,Comment,1
219,409,20231119,Comment,1
839,1284,20230727,Like,1
1904,5396,20231122,Like,1
1254,3398,20230907,Like,1
1739,1121,20230708,Like,1
1445,5426,20230920,Like,1
1314,2009,20230320,Like,1
1211,4100,20231209,Like,1
1234,5270,20230827,Share,1
1262,5210,20230727,Like,1
48,446,20230216,Like,1
1187,3127,20231004,Like,1
783,3278,20230705,Comment,1
759,1155,20230911,Like,1
74,4941,20230915,Comment,1
1245,259,20231122,Like,1
111,3509,20230106,Like,1
757,5066,20230913,Like,1
1952,2919,20230802,Like,1
