post_key,hashtag_key,usage_date_key,usage_count
5869,261,20231219,1
2997,150,20230729,1
60,26,20230728,1
5496,353,20230804,1
17,42,20230621,1
1776,149,20230508,1
2345,421,20230907,1
3702,455,20230508,1
3357,116,20230215,1
1096,1,20231112,1
2691,190,20231130,1
452,121,20231108,1
5235,371,20230407,1
121,463,20230823,1
3500,267,20231125,1
5029,203,20230131,1
2302,268,20230826,1
190,6,20230602,1
741,55,20230301,1
2971,144,20230416,1
4853,264,20230105,1
2019,299,20230911,1
4283,279,20231127,1
5831,291,20230401,1
855,357,20230411,1
181,60,20230427,1
821,226,20230730,1
4270,59,20230627,1
5843,438,20230326,1
242,163,20230427,1
60,333,20230916,1
1687,103,20231014,1
1760,470,20230828,1
4305,37,20230111,1
4825,494,20231007,1
5186,382,20230201,1
5907,481,20230609,1
1113,489,20231027,1
3022,174,20231201,1
5356,18,20231118,1
664,34,20230429,1
4539,490,20230304,1
1662,369,20230403,1
3841,410,20230909,1
3505,429,20231009,1
5437,142,20231224,1
1418,176,20230929,1
4430,74,20230830,1
2702,492,20230829,1
5637,15,20231226,1
4758,320,20230314,1
1319,231,20231219,1
615,266,20231219,1
181,61,20231107,1
5460,156,20230510,1
5473,350,20230507,1
995,468,20230609,1
3029,45,20230714,1
1996,357,20230710,1
4097,160,20230731,1
157,345,20230107,1
2875,430,20231205,1
5314,377,20230218,1
5419,108,20231013,1
3428,416,20231211,1
5754,339,20230211,1
3865,250,20230527,1
4156,53,20231229,1
2552,394,20230120,1
992,190,20230711,1
5520,266,20230201,1
1598,99,20230708,1
2950,135,20230722,1
4507,59,20231228,1
1411,489,20231213,1
5918,65,20230316,1
2618,180,20230426,1
3000,277,20230428,1
1182,74,20231221,1
5039,337,20230630,1
1097,263,20230816,1
5057,169,20230216,1
1728,156,20230316,1
1639,317,20230404,1
5545,171,20230625,1
5274,359,20230129,1
625,139,20231113,1
4927,289,20231029,1
4724,131,20231025,1
743,399,20230822,1
5969,462,20230315,1
4231,240,20230627,1
2796,236,20231017,1
5992,24,20230220,1
1366,426,20231002,1
3591,441,20231101,1
3932,142,20230519,1
5319,35,20230508,1
3049,339,20230821,1
2364,61,20230912,1
1089,465,20230130,1
1675,163,20230505,1
4098,109,20230906,1
3217,261,20230331,1
2337,247,20230907,1
5032,290,20230712,1
1358,78,20231022,1
599,357,20230904,1
5037,260,20231001,1
705,482,20230109,1
3306,85,20230426,1
5871,12,20230705,1
3784,266,20230305,1
4714,45,20230806,1
1188,138,20230308,1
32,84,20230413,1
1735,366,20230209,1
94,151,20230811,1
2809,287,20230228,1
1610,438,20231114,1
5405,373,20231209,1
4722,194,20230403,1
2777,226,20230502,1
4990,498,20231130,1
5785,273,20230821,1
2670,236,20230110,1
570,172,20230124,1
3758,462,20230615,1
944,158,20230923,1
571,77,20230815,1
2927,267,20230125,1
2343,460,20230608,1
4875,453,20230425,1
1833,108,20230615,1
3629,310,20230201,1
270,385,20231118,1
39,475,20230328,1
3894,93,20230326,1
1717,47,20231203,1
2805,488,20230704,1
4304,433,20230714,1
4715,421,20230621,1
584,203,20231102,1
2784,115,20230307,1
4945,214,20230425,1
2231,111,20230408,1
4712,403,20230709,1
4554,355,20230112,1
2566,442,20230708,1
1654,125,20231126,1
3952,339,20230213,1
1694,455,20230511,1
940,331,20230412,1
1012,334,20231010,1
2309,420,20230306,1
2826,391,20230627,1
4327,113,20231113,1
1191,132,20230810,1
439,100,20231231,1
5436,182,20230126,1
3575,115,20230316,1
5658,156,20230107,1
1015,358,20230328,1
5344,416,20230707,1
3637,266,20230623,1
5790,174,20230909,1
4399,164,20231027,1
3540,498,20231006,1
5485,463,20230816,1
5264,67,20230901,1
4114,50,20230330,1
2314,62,20230313,1
5922,228,20231209,1
4381,260,20230119,1
239,136,20230204,1
1386,198,20230813,1
2228,73,20231204,1
5510,13,20231214,1
1418,471,20230130,1
4775,270,20230526,1
5887,301,20231219,1
5566,357,20231220,1
1072,339,20231005,1
2414,157,20230923,1
892,462,20230213,1
4554,35,20231104,1
5324,431,20230925,1
1318,246,20231222,1
1599,77,20230922,1
585,229,20231027,1
4898,63,20230828,1
3178,69,20230826,1
2391,93,20230421,1
3762,59,20231108,1
114,497,20231011,1
4819,466,20230621,1
5719,18,20230405,1
5489,359,20230630,1
5531,465,20230210,1
3743,389,20230218,1
2915,184,20230830,1
3803,378,20230608,1
4620,208,20230222,1
2405,369,20230702,1
4578,347,20230508,1
2638,180,20231124,1
3142,338,20231020,1
5420,127,20231105,1
3907,396,20230926,1
5097,350,20230809,1
1965,74,20231125,1
2433,483,20231228,1
3260,496,20230114,1
1865,480,20231111,1
4872,376,20230224,1
1486,17,20231111,1
198,45,20230722,1
2207,310,20230115,1
1235,44,20230924,1
602,356,20231013,1
5866,421,20230311,1
2381,400,20230920,1
4488,40,20231205,1
2328,399,20230930,1
1375,406,20230220,1
2465,136,20230623,1
2679,248,20230423,1
3216,3,20231014,1
1867,85,20230318,1
2882,55,20230529,1
4778,245,20230107,1
1689,33,20230327,1
3157,293,20231215,1
321,413,20230131,1
4745,470,20231115,1
1838,146,20230716,1
2210,196,20230114,1
4203,233,20231005,1
2741,438,20230526,1
1460,13,20231012,1
5169,450,20231227,1
3893,141,20230720,1
1697,35,20231027,1
3236,475,20230505,1
3876,468,20230902,1
1579,367,20230730,1
1760,84,20231027,1
5529,321,20230124,1
3413,221,20230531,1
159,71,20231022,1
3528,182,20230215,1
4507,446,20231126,1
5362,447,20230923,1
3606,78,20231205,1
492,286,20231130,1
5973,45,20231025,1
5652,278,20230213,1
5895,274,20230325,1
4118,351,20231001,1
4256,436,20230420,1
1881,82,20231013,1
5021,196,20231118,1
3637,91,20230709,1
1536,166,20230422,1
3664,452,20230510,1
5952,131,20230306,1
4806,192,20230106,1
1182,292,20230425,1
5872,244,20230112,1
5286,67,20230217,1
4056,148,20230808,1
5619,33,20230929,1
5031,360,20230420,1
2901,321,20230606,1
1547,369,20231023,1
2715,448,20230818,1
256,190,20231123,1
121,258,20230507,1
3641,70,20230610,1
4371,283,20230923,1
4952,277,20230822,1
3667,160,20230911,1
5448,378,20230202,1
1276,347,20230926,1
2346,317,20230308,1
4878,267,20231104,1
3805,193,20230315,1
2232,107,20230509,1
2367,385,20230808,1
3771,337,20230303,1
5950,407,20231002,1
274,236,20230721,1
1144,119,20230815,1
4265,359,20230616,1
253,424,20230221,1
963,292,20230906,1
1097,447,20230323,1
3903,368,20230709,1
736,33,20230104,1
4975,406,20230526,1
3050,281,20230221,1
4905,375,20230106,1
5128,423,20230303,1
2273,461,20230402,1
2645,78,20230618,1
2709,145,20230612,1
1113,105,20230116,1
1495,131,20230710,1
4524,407,20231023,1
2692,228,20230930,1
2533,465,20230902,1
3106,466,20231212,1
2203,156,20230521,1
3551,211,20231201,1
2943,282,20230513,1
865,102,20231202,1
1180,252,20230225,1
4652,196,20231228,1
2899,305,20230404,1
4842,314,20230901,1
4329,41,20230215,1
4084,417,20231116,1
5730,458,20230719,1
3831,25,20231005,1
517,448,20230208,1
3816,357,20230405,1
2965,96,20231219,1
8,379,20230914,1
686,12,20230604,1
5484,127,20230228,1
405,21,20230821,1
3097,499,20230227,1
952,233,20230808,1
842,98,20230508,1
4851,424,20230402,1
567,51,20230519,1
880,468,20230129,1
232,188,20230120,1
4578,79,20230629,1
3692,176,20231226,1
4625,146,20231215,1
1211,70,20230524,1
4157,367,20230614,1
587,423,20230218,1
2181,240,20231106,1
4388,395,20231101,1
321,115,20230601,1
225,382,20231013,1
3678,441,20230816,1
822,61,20230316,1
5858,9,20230124,1
4389,252,20230302,1
466,428,20230407,1
5867,310,20230814,1
4680,102,20230911,1
3824,312,20230422,1
4656,470,20230910,1
3971,111,20230805,1
716,39,20230722,1
4326,265,20230521,1
547,474,20230417,1
3532,261,20230731,1
4654,182,20230108,1
1741,360,20230507,1
2397,28,20230720,1
