follower_user_key,followed_user_key,action_date_key,network_action,is_active_follow
1477,446,20230903,Unfollow,0
615,253,20230114,Unfollow,0
113,1500,20230419,Follow,1
436,624,20230523,Unfollow,0
898,476,20230706,Follow,1
241,1624,20230605,Follow,1
784,67,20230316,Follow,1
1959,755,20230115,Follow,1
335,1932,20230119,Follow,1
1939,794,20230524,Unfollow,0
812,3,20231204,Unfollow,0
410,488,20231226,Follow,1
1779,1027,20231011,Follow,1
212,282,20230421,Follow,1
686,1640,20231009,Follow,1
326,920,20230525,Follow,1
222,1940,20230521,Follow,1
302,313,20230630,Follow,1
1060,1934,20230418,Follow,1
1732,1257,20230524,Unfollow,0
1574,147,20230628,Unfollow,0
1848,373,20230328,Follow,1
1091,342,20231012,Follow,1
849,1425,20231202,Follow,1
1585,1817,20230521,Follow,1
516,302,20230730,Follow,1
286,1232,20230102,Unfollow,0
1140,1274,20231107,Follow,1
233,1008,20231010,Follow,1
1878,1314,20230616,Follow,1
1638,1011,20230727,Follow,1
113,1747,20230508,Follow,1
704,1138,20230622,Unfollow,0
1774,1387,20230909,Unfollow,0
640,1274,20230807,Follow,1
1309,625,20231031,Follow,1
1314,1457,20230822,Follow,1
109,615,20231203,Follow,1
1828,328,20230820,Follow,1
249,1965,20231110,Follow,1
86,1257,20231022,Follow,1
160,772,20231227,Follow,1
541,86,20230711,Follow,1
44,1805,20230214,Follow,1
681,260,20230209,Unfollow,0
543,1298,20230313,Follow,1
1953,551,20231119,Follow,1
110,261,20230308,Follow,1
1233,354,20230630,Follow,1
729,409,20230719,Follow,1
858,276,20231206,Follow,1
545,1796,20230123,Unfollow,0
1820,937,20231120,Unfollow,0
1421,1982,20230320,Follow,1
1082,957,20230223,Unfollow,0
448,1951,20230810,Follow,1
835,1311,20230803,Follow,1
367,413,20230828,Unfollow,0
247,1080,20230818,Follow,1
593,1694,20230704,Follow,1
1733,858,20230527,Follow,1
1923,1676,20230515,Follow,1
84,1199,20230105,Follow,1
1866,255,20231107,Follow,1
444,814,20230628,Follow,1
605,38,20230617,Follow,1
1311,1390,20230926,Unfollow,0
20,519,20231226,Follow,1
1902,462,20230723,Follow,1
294,7,20230509,Follow,1
322,1540,20230326,Follow,1
623,250,20231008,Unfollow,0
753,158,20230604,Follow,1
898,1056,20230627,Unfollow,0
1713,296,20230115,Follow,1
763,464,20231222,Follow,1
933,947,20230306,Follow,1
1082,1088,20230331,Follow,1
371,594,20230702,Follow,1
23,1574,20231005,Follow,1
296,1316,20230114,Follow,1
736,168,20231112,Follow,1
877,1093,20231115,Follow,1
948,405,20231017,Follow,1
1524,925,20230722,Follow,1
1834,1756,20230419,Follow,1
201,1,20230727,Follow,1
594,1537,20230105,Unfollow,0
1944,1728,20231001,Follow,1
1371,39,20230910,Unfollow,0
449,1425,20230603,Follow,1
1394,1905,20230405,Follow,1
1326,1387,20230215,Follow,1
1754,1159,20230928,Follow,1
246,1202,20230513,Follow,1
1403,107,20231222,Follow,1
937,810,20230910,Follow,1
1262,1746,20230113,Follow,1
1979,810,20230426,Unfollow,0
1587,1891,20230411,Unfollow,0
161,1456,20230128,Follow,1
1938,989,20230510,Unfollow,0
149,930,20230103,Unfollow,0
1031,902,20231029,Follow,1
887,271,20230524,Follow,1
849,825,20230408,Unfollow,0
572,1382,20231103,Follow,1
1865,1375,20231028,Follow,1
791,664,20231001,Follow,1
888,221,20230713,Follow,1
1402,1371,20230518,Follow,1
1931,1585,20230322,Follow,1
1428,14,20230616,Follow,1
1508,257,20231129,Unfollow,0
1234,1837,20230111,Follow,1
1705,1418,20230319,Follow,1
897,1176,20230211,Follow,1
569,259,20230604,Follow,1
1241,1513,20230303,Follow,1
925,443,20231110,Follow,1
1994,348,20230417,Follow,1
1284,1374,20230529,Follow,1
109,1935,20230310,Follow,1
279,945,20230330,Follow,1
1360,3,20230216,Follow,1
1499,862,20231014,Follow,1
148,1334,20231209,Unfollow,0
871,1371,20231202,Follow,1
505,1964,20230329,Follow,1
994,1163,20230212,Follow,1
806,1624,20230202,Follow,1
1744,118,20230807,Follow,1
419,1786,20230719,Unfollow,0
1410,148,20230812,Follow,1
384,35,20230205,Follow,1
405,923,20231023,Follow,1
375,956,20230615,Follow,1
719,179,20230919,Follow,1
600,520,20231010,Follow,1
1690,228,20231001,Follow,1
267,1804,20231109,Follow,1
574,1568,20230316,Follow,1
348,1122,20230226,Follow,1
1317,423,20231014,Follow,1
462,754,20230825,Follow,1
1948,724,20230923,Unfollow,0
425,1504,20230217,Follow,1
651,1876,20231029,Follow,1
1543,351,20230322,Follow,1
599,917,20231105,Unfollow,0
1330,595,20230520,Follow,1
1746,1266,20230329,Follow,1
1681,332,20231029,Follow,1
465,779,20231124,Follow,1
1666,1262,20230407,Follow,1
1053,882,20231214,Follow,1
322,1086,20231118,Follow,1
1433,1394,20231220,Follow,1
1439,1932,20230310,Unfollow,0
1768,358,20230507,Unfollow,0
534,1386,20230320,Follow,1
1923,1324,20230227,Unfollow,0
1850,1441,20231212,Follow,1
1838,1880,20231223,Follow,1
845,1488,20230920,Follow,1
267,1932,20230908,Follow,1
962,346,20230401,Follow,1
983,251,20231002,Follow,1
938,767,20231007,Follow,1
1959,1020,20230505,Follow,1
342,191,20230107,Follow,1
1970,1547,20230617,Follow,1
216,42,20231228,Follow,1
1010,1662,20230625,Follow,1
780,1647,20231024,Follow,1
1937,775,20230527,Follow,1
1686,941,20230817,Follow,1
1382,1277,20230921,Follow,1
628,1223,20231029,Unfollow,0
1563,1037,20230414,Follow,1
976,948,20230504,Follow,1
786,197,20230518,Follow,1
1567,1286,20230702,Follow,1
829,1469,20231111,Follow,1
1729,1403,20230519,Follow,1
112,624,20231110,Follow,1
1606,572,20230530,Follow,1
1826,921,20231129,Follow,1
1525,979,20230729,Unfollow,0
674,1200,20230623,Follow,1
1359,935,20230918,Follow,1
830,1061,20230108,Unfollow,0
764,1096,20231111,Follow,1
806,672,20230309,Follow,1
1749,179,20230714,Follow,1
857,1253,20230609,Follow,1
789,811,20230414,Follow,1
1527,322,20231002,Follow,1
1218,151,20230324,Follow,1
744,1906,20230507,Follow,1
953,743,20231120,Unfollow,0
833,555,20230512,Follow,1
877,292,20231219,Unfollow,0
846,293,20230620,Follow,1
699,1977,20230813,Follow,1
883,1488,20230803,Unfollow,0
584,846,20231122,Follow,1
1221,1121,20230820,Follow,1
1765,337,20231219,Follow,1
1406,895,20230621,Follow,1
1410,970,20230428,Follow,1
896,638,20231009,Follow,1
1971,41,20230802,Follow,1
394,944,20230122,Follow,1
1386,1106,20230126,Follow,1
784,1574,20230104,Follow,1
1951,879,20230725,Unfollow,0
745,1710,20230622,Follow,1
689,463,20230225,Follow,1
1495,1293,20230331,Unfollow,0
801,576,20230115,Follow,1
1179,1397,20231021,Follow,1
1891,1306,20230902,Follow,1
963,513,20230913,Unfollow,0
991,1670,20230513,Follow,1
684,413,20230818,Follow,1
1038,463,20230618,Follow,1
1727,71,20230626,Follow,1
1172,117,20231024,Follow,1
611,996,20230611,Follow,1
1788,1082,20230221,Follow,1
1216,1765,20230415,Follow,1
1450,469,20231217,Follow,1
1832,1289,20230605,Follow,1
1862,607,20230306,Follow,1
1959,749,20231206,Follow,1
1044,995,20231004,Follow,1
377,153,20230810,Follow,1
411,423,20231114,Follow,1
352,1316,20230515,Follow,1
458,571,20230918,Unfollow,0
141,1130,20230730,Follow,1
1816,335,20230415,Follow,1
729,855,20230423,Unfollow,0
505,160,20230114,Follow,1
801,877,20230816,Follow,1
429,1610,20230130,Follow,1
632,1159,20230113,Follow,1
1294,17,20231221,Follow,1
1920,1830,20230423,Follow,1
1049,157,20230608,Follow,1
1157,42,20230916,Unfollow,0
1895,823,20231225,Follow,1
290,903,20231204,Follow,1
400,1190,20230411,Follow,1
998,1776,20230826,Follow,1
1328,1818,20230820,Follow,1
1627,385,20230220,Follow,1
1416,1505,20230419,Follow,1
669,1237,20230104,Follow,1
156,1521,20230810,Follow,1
1320,1349,20230514,Follow,1
1272,595,20230623,Follow,1
876,656,20230807,Follow,1
939,1053,20231220,Follow,1
459,352,20231215,Follow,1
1202,1559,20231110,Follow,1
64,198,20230818,Follow,1
284,994,20230922,Unfollow,0
29,186,20231027,Follow,1
493,816,20230817,Follow,1
1806,65,20230602,Follow,1
1181,1173,20230409,Follow,1
1572,1940,20231205,Follow,1
189,1350,20231215,Follow,1
855,661,20230507,Follow,1
1789,1474,20231115,Follow,1
316,1723,20231126,Follow,1
1755,635,20231030,Follow,1
329,1226,20231014,Follow,1
701,73,20230226,Follow,1
1195,1858,20230103,Follow,1
1051,1603,20230115,Follow,1
241,1211,20230222,Follow,1
1453,1673,20230323,Follow,1
1130,1868,20230227,Follow,1
1137,1220,20230825,Follow,1
1800,964,20230703,Unfollow,0
452,563,20231021,Follow,1
733,1569,20230707,Follow,1
1694,1638,20230731,Follow,1
376,1928,20231121,Follow,1
133,9,20230825,Follow,1
1575,1935,20230422,Follow,1
41,1896,20230519,Follow,1
1866,1634,20231128,Follow,1
63,184,20231128,Follow,1
1424,1392,20230102,Follow,1
1109,866,20230930,Unfollow,0
1692,1005,20230224,Unfollow,0
1697,405,20231101,Follow,1
1287,541,20230804,Unfollow,0
1890,341,20230102,Follow,1
1958,132,20230810,Follow,1
1082,280,20230129,Follow,1
911,1040,20230628,Follow,1
616,1687,20231006,Unfollow,0
162,1990,20231025,Follow,1
71,1102,20230929,Follow,1
1101,844,20230620,Follow,1
210,255,20230106,Follow,1
653,1377,20230602,Follow,1
828,1912,20231229,Unfollow,0
970,1315,20230928,Follow,1
581,796,20231022,Follow,1
98,79,20230704,Unfollow,0
1840,668,20230121,Follow,1
250,108,20230813,Follow,1
1433,630,20230510,Follow,1
1555,775,20230417,Follow,1
2,202,20231217,Follow,1
1243,803,20230925,Follow,1
1341,284,20230709,Follow,1
1218,1610,20230221,Follow,1
673,1293,20231205,Unfollow,0
565,585,20230420,Follow,1
1693,692,20230715,Follow,1
568,703,20230402,Follow,1
1572,701,20230331,Follow,1
